domain,label,feat_suspicious,feat_length,feat_entropy,feat_faketld,feat_brand_pos,feat_pop_keywords,feat_similar,feat_minus
www.flipsnack.com,0,0,0.10576923076923077,0.5503123005152866,0.0,0.0,0.0,0.03571428571428571,0.0
www.stakingrewards.com,0,0,0.15384615384615385,0.5996828854460396,0.0,0.0,0.0,0.0,0.0
3342u6ahodlj7255qom56ptv8i.hnfd5r.com,1,0,0.2980769230769231,0.8328528050166004,0.0,0.0,0.0,0.0,0.0
smbc.co.jp.sayjpi.cn,1,0,0.13461538461538464,0.49210070243345894,0.0,0.0,0.0,0.39285714285714285,0.0
hk7jc.sepehrms.com,1,0,0.11538461538461538,0.5289145560320863,0.0,0.0,0.0,0.07142857142857142,0.0
computer-wd.com,0,0,0.08653846153846155,0.5300375285358176,0.0,0.0,0.0,0.0,0.125
theweek.com,0,0,0.04807692307692309,0.38172383271490995,0.0,0.0,0.0,0.03571428571428571,0.0
newdevice-verify.com,1,0,0.13461538461538464,0.5656032421594102,0.0,0.0,0.2,0.17857142857142855,0.125
dhym.sepehrms.com,1,0,0.10576923076923077,0.47756729772913653,0.0,0.0,0.0,0.10714285714285714,0.0
ihmriv.xyz,1,1,0.038461538461538464,0.4110201112388415,0.0,0.0,0.0,0.03571428571428571,0.0
hwsrv-790696.hostwindsdns.com,0,0,0.22115384615384615,0.6918873628270792,0.0,0.0,0.0,0.17857142857142855,0.125
api.msrc.microsoft.com,0,0,0.15384615384615385,0.4729310418249164,0.0,0.1923076923076923,0.0,0.14285714285714285,0.0
stephaneledro.com,1,0,0.10576923076923077,0.5866848019083615,0.0,0.0,0.0,0.03571428571428571,0.0
amaccount.6cdblehhjgd1hbbc5rqty.monster,1,0,0.3173076923076923,0.776556327257562,0.0,0.0,0.2,0.10714285714285714,0.0
help-0024511457.xyz,1,1,0.125,0.6289658741655271,0.0,0.0,0.0,0.10714285714285714,0.125
skahm.bemobpath.com,0,0,0.125,0.5190509626812483,0.0,0.0,0.0,0.2857142857142857,0.0
manueltch0see.com,1,0,0.10576923076923077,0.5503123005152866,0.0,0.0,0.0,0.0,0.0
h8t4p.leovirals.com,1,0,0.125,0.6615096912014362,0.0,0.0,0.0,0.10714285714285714,0.0
mobilerigolemi.al,1,0,0.10576923076923077,0.42746622297403347,0.0,0.0,0.0,0.03571428571428571,0.0
atendimento.loginsmiles.com,1,0,0.20192307692307693,0.5520396199867812,0.0,0.34615384615384615,0.2,0.17857142857142855,0.0
cpcalendars.nuovo-pratica.com,1,0,0.22115384615384615,0.6411959561195268,0.0,0.0,0.0,0.03571428571428571,0.125
chase-bank.network,1,0,0.11538461538461538,0.5976181697745613,0.0,0.019230769230769232,0.2,0.17857142857142855,0.125
taitaiteyne.co.chinajsq.cn,0,0,0.1923076923076923,0.5360181378885056,0.0,0.0,0.0,0.6428571428571428,0.0
dim1konev.beget.tech,0,1,0.13461538461538464,0.596519868343524,0.0,0.0,0.0,0.17857142857142855,0.0
e7b6p.bicharter.com,1,0,0.125,0.5964220571296182,0.0,0.0,0.0,0.07142857142857142,0.0
c19observatory.mit.edu,0,0,0.15384615384615385,0.6840009568572589,0.0,0.0,0.0,0.07142857142857142,0.0
